chrom	pos	strand	cil1	ml1	ciu1	pval1	fdr1	cil2	ml2	ciu2	pval2	fdr2	overshoot	5hmC	cil_diff	ml_diff	ciu_diff	pval_diff	fdr_diff	est_mindiff
chrM	740	-	0.003717	0.005154	0.006600	0.000000	0.000000	0.015004	0.017214	0.019455	0.000000	0.000000	0	3	-0.014479	-0.012060	-0.009641	0.000000	0.000000	-0.009641
chrM	765	+	0.040254	0.049821	0.060027	0.000000	0.000000	0.103790	0.118947	0.134852	0.000000	0.000000	0	3	-0.085792	-0.069126	-0.052459	0.000000	0.000000	-0.052459
chrM	766	-	0.004442	0.005407	0.006403	0.000000	0.000000	0.016011	0.017838	0.019731	0.000000	0.000000	0	3	-0.014165	-0.012431	-0.010697	0.000000	0.000000	-0.010697
chrM	785	+	0.039285	0.046917	0.055302	0.000000	0.000000	0.110039	0.123384	0.137586	0.000000	0.000000	0	3	-0.090307	-0.076467	-0.062626	0.000000	0.000000	-0.062626
chrM	786	-	0.004687	0.005610	0.006575	0.000000	0.000000	0.017015	0.018832	0.020730	0.000000	0.000000	0	3	-0.014904	-0.013222	-0.011540	0.000000	0.000000	-0.011540
chrM	808	+	0.005123	0.011275	0.017648	0.000397	0.000706	0.024251	0.031730	0.039843	0.000000	0.000000	0	3	-0.030189	-0.020454	-0.010719	0.000044	0.000104	-0.010719
chrM	809	-	0.000368	0.002226	0.004083	0.018910	0.027740	0.000893	0.003310	0.005722	0.007421	0.010530	0	3	-0.004028	-0.001084	0.001859	0.485225	0.568944	0.000000
chrM	842	+	0.030931	0.036561	0.042702	0.000000	0.000000	0.082825	0.092784	0.103343	0.000000	0.000000	0	3	-0.066428	-0.056223	-0.046019	0.000000	0.000000	-0.046019
chrM	843	-	0.006697	0.007645	0.008632	0.000000	0.000000	0.020557	0.022396	0.024303	0.000000	0.000000	0	3	-0.016469	-0.014751	-0.013032	0.000000	0.000000	-0.013032
chrM	886	+	0.021571	0.026671	0.032184	0.000000	0.000000	0.056782	0.065767	0.075279	0.000000	0.000000	0	3	-0.048293	-0.039096	-0.029900	0.000000	0.000000	-0.029900
chrM	887	-	0.006599	0.007646	0.008739	0.000000	0.000000	0.025719	0.027853	0.030071	0.000000	0.000000	0	3	-0.022126	-0.020206	-0.018286	0.000000	0.000000	-0.018286
chrM	898	+	0.011312	0.015683	0.020321	0.000000	0.000000	0.039601	0.046741	0.054398	0.000000	0.000000	0	3	-0.038743	-0.031058	-0.023373	0.000000	0.000000	-0.023373
chrM	899	-	0.003375	0.006232	0.009089	0.000020	0.000040	0.016206	0.019994	0.023787	0.000000	0.000000	0	3	-0.018324	-0.013762	-0.009200	0.000000	0.000000	-0.009200
chrM	900	+	0.009299	0.013435	0.017805	0.000000	0.000000	0.038814	0.045727	0.053130	0.000000	0.000000	0	3	-0.039595	-0.032292	-0.024988	0.000000	0.000000	-0.024988
chrM	901	-	0.006718	0.009782	0.012850	0.000000	0.000000	0.018438	0.022425	0.026421	0.000000	0.000000	0	3	-0.017506	-0.012643	-0.007781	0.000001	0.000003	-0.007781
chrM	908	+	0.013013	0.016533	0.020414	0.000000	0.000000	0.034297	0.040467	0.047171	0.000000	0.000000	0	3	-0.030343	-0.023934	-0.017525	0.000000	0.000000	-0.017525
chrM	909	-	0.009173	0.011035	0.012939	0.000000	0.000000	0.032210	0.035595	0.039063	0.000000	0.000000	0	3	-0.027860	-0.024561	-0.021262	0.000000	0.000000	-0.021262
chrM	932	+	0.013970	0.021347	0.028843	0.000000	0.000000	0.050237	0.060759	0.071512	0.000000	0.000000	0	3	-0.051594	-0.039413	-0.027231	0.000000	0.000000	-0.027231
chrM	933	-	0.011696	0.013523	0.015453	0.000000	0.000000	0.053860	0.057985	0.062280	0.000000	0.000000	0	3	-0.047892	-0.044462	-0.041032	0.000000	0.000000	-0.041032
chrM	935	+	0.014393	0.022341	0.030484	0.000000	0.000000	0.033686	0.044187	0.055009	0.000000	0.000000	0	3	-0.034675	-0.021846	-0.009017	0.001252	0.002476	-0.009017
chrM	936	-	0.011175	0.013052	0.015024	0.000000	0.000000	0.047319	0.051277	0.055405	0.000000	0.000000	0	3	-0.041699	-0.038225	-0.034750	0.000000	0.000000	-0.034750
chrM	1023	+	0.010650	0.013559	0.016886	0.000000	0.000000	0.025412	0.030966	0.037037	0.000000	0.000000	0	3	-0.022895	-0.017407	-0.011920	0.000000	0.000000	-0.011920
chrM	1024	-	0.003012	0.004208	0.005430	0.000000	0.000000	0.011394	0.013252	0.015200	0.000000	0.000000	0	3	-0.011083	-0.009044	-0.007005	0.000000	0.000000	-0.007005
chrM	1133	+	0.074823	0.087440	0.100895	0.000000	0.000000	0.178380	0.197582	0.217617	0.000000	0.000000	0	3	-0.131847	-0.110141	-0.088435	0.000000	0.000000	-0.088435
chrM	1134	-	0.001853	0.004222	0.006611	0.000531	0.000934	0.019682	0.023237	0.026913	0.000000	0.000000	0	3	-0.022985	-0.019015	-0.015044	0.000000	0.000000	-0.015044
chrM	1146	+	0.019044	0.027000	0.035530	0.000000	0.000000	0.057416	0.069696	0.082824	0.000000	0.000000	0	3	-0.056495	-0.042697	-0.028899	0.000000	0.000000	-0.028899
chrM	1147	-	-0.000099	0.002724	0.005552	0.059001	0.080412	0.010131	0.014129	0.018162	0.000000	0.000000	0	2	-0.016023	-0.011406	-0.006789	0.000005	0.000014	-0.006789
chrM	1177	+	0.000635	0.007191	0.013839	0.031851	0.045391	0.023491	0.032446	0.041592	0.000000	0.000000	0	3	-0.035902	-0.025255	-0.014607	0.000010	0.000025	-0.014607
chrM	1178	-	0.004786	0.006411	0.008149	0.000000	0.000000	0.015778	0.018894	0.022176	0.000000	0.000000	0	3	-0.015455	-0.012482	-0.009510	0.000000	0.000000	-0.009510
chrM	1216	+	0.014953	0.020168	0.025665	0.000000	0.000000	0.056622	0.065388	0.074603	0.000000	0.000000	0	3	-0.054414	-0.045220	-0.036027	0.000000	0.000000	-0.036027
chrM	1217	-	0.005475	0.006872	0.008384	0.000000	0.000000	0.015366	0.017919	0.020667	0.000000	0.000000	0	3	-0.013595	-0.011047	-0.008499	0.000000	0.000000	-0.008499
chrM	1226	+	0.010378	0.013741	0.017408	0.000000	0.000000	0.041554	0.047891	0.054737	0.000000	0.000000	0	3	-0.040346	-0.034150	-0.027954	0.000000	0.000000	-0.027954
chrM	1227	-	0.004732	0.006435	0.008206	0.000000	0.000000	0.010505	0.013203	0.016011	0.000000	0.000000	0	3	-0.009701	-0.006768	-0.003834	0.000037	0.000089	-0.003834
chrM	1262	+	0.011525	0.014112	0.016968	0.000000	0.000000	0.028673	0.033601	0.038851	0.000000	0.000000	0	3	-0.024283	-0.019489	-0.014694	0.000000	0.000000	-0.014694
chrM	1263	-	-0.000734	0.002467	0.005669	0.130857	0.166530	0.006504	0.010849	0.015192	0.000001	0.000002	0	2	-0.013536	-0.008382	-0.003228	0.002341	0.004472	-0.003228
chrM	1302	+	0.004185	0.006475	0.008831	0.000000	0.000000	0.022087	0.025813	0.029723	0.000000	0.000000	0	3	-0.023304	-0.019338	-0.015373	0.000000	0.000000	-0.015373
chrM	1303	-	0.003788	0.004646	0.005547	0.000000	0.000000	0.011113	0.012777	0.014519	0.000000	0.000000	0	3	-0.009693	-0.008131	-0.006569	0.000000	0.000000	-0.006569
chrM	1314	+	0.002408	0.003916	0.005495	0.000000	0.000001	0.004928	0.007055	0.009307	0.000000	0.000000	0	3	-0.005656	-0.003139	-0.000622	0.019894	0.033172	-0.000622
chrM	1315	-	-0.001523	0.000360	0.002245	0.707944	0.751579	0.000470	0.002842	0.005215	0.019130	0.026469	0	2	-0.005432	-0.002482	0.000467	0.108019	0.151560	0.000000
chrM	1322	+	0.003390	0.005176	0.007010	0.000000	0.000000	0.014231	0.017119	0.020115	0.000000	0.000000	0	3	-0.015023	-0.011942	-0.008862	0.000000	0.000000	-0.008862
chrM	1323	-	0.001477	0.002504	0.003562	0.000002	0.000005	0.008022	0.009600	0.011280	0.000000	0.000000	0	3	-0.008850	-0.007096	-0.005341	0.000000	0.000000	-0.005341
chrM	1388	+	0.002533	0.003589	0.004687	0.000000	0.000000	0.012624	0.014570	0.016631	0.000000	0.000000	0	3	-0.012877	-0.010981	-0.009085	0.000000	0.000000	-0.009085
chrM	1389	-	0.002898	0.004408	0.005993	0.000000	0.000000	0.008073	0.010483	0.013042	0.000000	0.000000	0	3	-0.008697	-0.006075	-0.003453	0.000033	0.000079	-0.003453
chrM	1414	+	0.003154	0.008362	0.013575	0.001649	0.002736	0.013961	0.020190	0.026432	0.000000	0.000000	0	3	-0.019824	-0.011828	-0.003832	0.004313	0.007950	-0.003832
chrM	1415	-	0.004970	0.006703	0.008573	0.000000	0.000000	0.015643	0.018965	0.022515	0.000000	0.000000	0	3	-0.015449	-0.012262	-0.009076	0.000000	0.000000	-0.009076
chrM	1473	+	0.009683	0.014163	0.019414	0.000000	0.000000	0.015736	0.022379	0.029983	0.000000	0.000000	0	3	-0.016219	-0.008215	-0.000212	0.056036	0.083057	-0.000212
chrM	1474	-	0.000423	0.002441	0.004519	0.018830	0.027663	0.002595	0.005405	0.008362	0.000270	0.000422	0	3	-0.006287	-0.002964	0.000359	0.095110	0.134392	0.000000
chrM	1475	+	0.004755	0.008002	0.011689	0.000006	0.000013	0.011344	0.015983	0.021266	0.000000	0.000000	0	3	-0.013636	-0.007981	-0.002326	0.007971	0.014093	-0.002326
chrM	1476	-	-0.000904	0.000986	0.002899	0.304292	0.362321	0.001877	0.004350	0.006980	0.000895	0.001353	0	2	-0.006394	-0.003364	-0.000334	0.034370	0.054588	-0.000334
chrM	1484	+	0.002764	0.004957	0.007563	0.000052	0.000100	0.009960	0.013380	0.017495	0.000000	0.000000	0	3	-0.012453	-0.008423	-0.004393	0.000103	0.000234	-0.004393
chrM	1485	-	0.000553	0.004071	0.007623	0.024089	0.034826	0.001333	0.005511	0.009761	0.010806	0.015162	0	3	-0.006838	-0.001440	0.003958	0.605078	0.675389	0.000000
chrM	1488	+	0.003266	0.005420	0.008037	0.000009	0.000019	0.003489	0.007164	0.011086	0.000496	0.000763	0	3	-0.005746	-0.001743	0.002260	0.437536	0.520975	0.000000
chrM	1489	-	0.001311	0.006022	0.010750	0.012711	0.019269	-0.001820	0.004365	0.010522	0.166666	0.206575	0	1	-0.005827	0.001657	0.009141	0.674636	0.731771	0.000000
chrM	1537	+	0.004927	0.008036	0.011442	0.000002	0.000004	0.006121	0.010398	0.014900	0.000015	0.000024	0	3	-0.007564	-0.002362	0.002840	0.391005	0.477524	0.000000
chrM	1538	-	0.000409	0.001712	0.003019	0.010450	0.016012	0.004926	0.006744	0.008589	0.000000	0.000000	0	3	-0.007154	-0.005032	-0.002909	0.000011	0.000028	-0.002909
chrM	1561	+	0.005508	0.009830	0.014336	0.000016	0.000033	0.017642	0.023138	0.029001	0.000000	0.000000	0	3	-0.020255	-0.013307	-0.006360	0.000241	0.000519	-0.006360
chrM	1562	-	0.002389	0.003364	0.004375	0.000000	0.000000	0.006558	0.008158	0.009821	0.000000	0.000000	0	3	-0.006488	-0.004794	-0.003100	0.000001	0.000002	-0.003100
chrM	1597	+	0.013327	0.019211	0.025923	0.000000	0.000000	0.020567	0.028519	0.037299	0.000000	0.000000	0	3	-0.019330	-0.009308	0.000715	0.077800	0.111831	0.000000
chrM	1598	-	0.005983	0.007759	0.009627	0.000000	0.000000	0.010320	0.013139	0.016069	0.000000	0.000000	0	3	-0.008454	-0.005381	-0.002307	0.001760	0.003408	-0.002307
chrM	1663	+	0.020304	0.026930	0.034484	0.000000	0.000000	0.046171	0.056144	0.067057	0.000000	0.000000	0	3	-0.040924	-0.029214	-0.017504	0.000004	0.000011	-0.017504
chrM	1664	-	0.005279	0.006625	0.008030	0.000000	0.000000	0.011402	0.013598	0.015882	0.000000	0.000000	0	3	-0.009315	-0.006973	-0.004631	0.000000	0.000000	-0.004631
chrM	1749	+	0.008416	0.012807	0.017433	0.000000	0.000000	0.020684	0.027372	0.034339	0.000000	0.000000	0	3	-0.022075	-0.014565	-0.007055	0.000430	0.000900	-0.007055
chrM	1750	-	0.006480	0.007579	0.008728	0.000000	0.000000	0.021372	0.023472	0.025670	0.000000	0.000000	0	3	-0.017884	-0.015893	-0.013902	0.000000	0.000000	-0.013902
chrM	1769	+	0.008195	0.011676	0.015331	0.000000	0.000000	0.027974	0.033256	0.038848	0.000000	0.000000	0	3	-0.027539	-0.021580	-0.015621	0.000000	0.000000	-0.015621
chrM	1770	-	0.006218	0.007639	0.009093	0.000000	0.000000	0.023688	0.026178	0.028750	0.000000	0.000000	0	3	-0.021038	-0.018539	-0.016040	0.000000	0.000000	-0.016040
chrM	1786	+	0.002529	0.004663	0.006894	0.000021	0.000042	0.010742	0.013930	0.017329	0.000000	0.000000	0	3	-0.012899	-0.009267	-0.005636	0.000003	0.000007	-0.005636
chrM	1787	-	0.001567	0.002720	0.003899	0.000005	0.000011	0.009967	0.011929	0.013980	0.000000	0.000000	0	3	-0.011224	-0.009209	-0.007195	0.000000	0.000000	-0.007195
chrM	1905	+	0.003603	0.004930	0.006333	0.000000	0.000000	0.014881	0.017332	0.019950	0.000000	0.000000	0	3	-0.014803	-0.012402	-0.010001	0.000000	0.000000	-0.010001
chrM	1906	-	0.006047	0.009478	0.012943	0.000000	0.000000	0.019460	0.024354	0.029318	0.000000	0.000000	0	3	-0.020521	-0.014876	-0.009231	0.000001	0.000004	-0.009231
chrM	1915	+	0.005284	0.006444	0.007698	0.000000	0.000000	0.016564	0.018788	0.021169	0.000000	0.000000	0	3	-0.014481	-0.012344	-0.010208	0.000000	0.000000	-0.010208
chrM	1916	-	0.011007	0.013984	0.017064	0.000000	0.000000	0.041430	0.046491	0.051777	0.000000	0.000000	0	3	-0.037731	-0.032507	-0.027284	0.000000	0.000000	-0.027284
chrM	1948	+	0.003501	0.004576	0.005733	0.000000	0.000000	0.008760	0.010532	0.012446	0.000000	0.000000	0	3	-0.007863	-0.005956	-0.004049	0.000000	0.000000	-0.004049
chrM	1949	-	0.008500	0.011247	0.014103	0.000000	0.000000	0.020399	0.024948	0.029641	0.000000	0.000000	0	3	-0.018485	-0.013700	-0.008915	0.000001	0.000002	-0.008915
chrM	1989	+	0.005968	0.008317	0.010841	0.000000	0.000000	0.016060	0.019605	0.023491	0.000000	0.000000	0	3	-0.015358	-0.011289	-0.007220	0.000000	0.000001	-0.007220
chrM	1990	-	0.005764	0.007124	0.008564	0.000000	0.000000	0.017192	0.019641	0.022233	0.000000	0.000000	0	3	-0.014963	-0.012517	-0.010070	0.000000	0.000000	-0.010070
chrM	2001	+	0.007433	0.009743	0.012260	0.000000	0.000000	0.017709	0.021676	0.025937	0.000000	0.000000	0	3	-0.016091	-0.011933	-0.007776	0.000000	0.000001	-0.007776
chrM	2002	-	0.009440	0.011691	0.013988	0.000000	0.000000	0.024415	0.028086	0.031835	0.000000	0.000000	0	3	-0.020271	-0.016395	-0.012519	0.000000	0.000000	-0.012519
chrM	2203	-	0.010078	0.013022	0.016299	0.000000	0.000000	0.021526	0.026427	0.031766	0.000000	0.000000	0	3	-0.018714	-0.013405	-0.008097	0.000006	0.000017	-0.008097
chrM	2332	+	0.129382	0.160011	0.191339	0.000000	0.000000	0.175912	0.216261	0.254690	0.000000	0.000000	0	3	-0.104800	-0.056251	-0.007702	0.030069	0.048217	-0.007702
chrM	2333	-	0.000374	0.002691	0.005009	0.022892	0.033288	0.004830	0.007833	0.010839	0.000000	0.000001	0	3	-0.008811	-0.005142	-0.001473	0.007893	0.013980	-0.001473
chrM	2344	+	0.141332	0.170818	0.200602	0.000000	0.000000	0.236604	0.271847	0.306393	0.000000	0.000000	0	3	-0.146131	-0.101030	-0.055928	0.000022	0.000053	-0.055928
chrM	2345	-	0.004599	0.005975	0.007366	0.000000	0.000000	0.014354	0.016474	0.018630	0.000000	0.000000	0	3	-0.012821	-0.010498	-0.008176	0.000000	0.000000	-0.008176
chrM	2476	+	0.039416	0.049717	0.060551	0.000000	0.000000	0.068734	0.082730	0.097295	0.000000	0.000000	0	3	-0.049981	-0.033013	-0.016046	0.000250	0.000537	-0.016046
chrM	2477	-	0.004572	0.005350	0.006166	0.000000	0.000000	0.015838	0.017381	0.018997	0.000000	0.000000	0	3	-0.013454	-0.012031	-0.010608	0.000000	0.000000	-0.010608
chrM	2491	+	0.019162	0.024574	0.030757	0.000000	0.000000	0.040506	0.050042	0.060308	0.000000	0.000000	0	3	-0.035456	-0.025468	-0.015481	0.000010	0.000025	-0.015481
chrM	2492	-	-0.001795	0.000034	0.001864	0.971436	0.977305	0.002235	0.004559	0.006884	0.000123	0.000195	0	2	-0.007401	-0.004526	-0.001651	0.002714	0.005164	-0.001651
chrM	2541	+	0.008440	0.011463	0.014763	0.000000	0.000000	0.027911	0.033396	0.039371	0.000000	0.000000	0	3	-0.027461	-0.021933	-0.016405	0.000000	0.000000	-0.016405
chrM	2542	-	0.000936	0.001607	0.002292	0.000003	0.000006	0.005035	0.006071	0.007147	0.000000	0.000000	0	3	-0.005604	-0.004464	-0.003324	0.000000	0.000000	-0.003324
chrM	2566	+	0.010854	0.013678	0.016706	0.000000	0.000000	0.030987	0.035963	0.041303	0.000000	0.000000	0	3	-0.027371	-0.022285	-0.017199	0.000000	0.000000	-0.017199
chrM	2567	-	0.001484	0.002055	0.002645	0.000000	0.000000	0.005395	0.006354	0.007355	0.000000	0.000000	0	3	-0.005297	-0.004299	-0.003300	0.000000	0.000000	-0.003300
chrM	2570	+	0.006808	0.009578	0.012480	0.000000	0.000000	0.019409	0.023689	0.028264	0.000000	0.000000	0	3	-0.018882	-0.014112	-0.009342	0.000000	0.000000	-0.009342
chrM	2571	-	0.001464	0.002016	0.002589	0.000000	0.000000	0.005171	0.006081	0.007039	0.000000	0.000000	0	3	-0.005028	-0.004065	-0.003102	0.000000	0.000000	-0.003102
chrM	2572	+	0.002526	0.005043	0.007640	0.000095	0.000178	0.012355	0.016305	0.020461	0.000000	0.000000	0	3	-0.015578	-0.011261	-0.006944	0.000003	0.000007	-0.006944
chrM	2573	-	-0.000685	0.000112	0.000914	0.781941	0.823139	0.002146	0.003325	0.004518	0.000000	0.000000	0	2	-0.004537	-0.003212	-0.001887	0.000010	0.000026	-0.001887
chrM	2584	+	0.003992	0.006381	0.008878	0.000000	0.000001	0.018277	0.022321	0.026629	0.000000	0.000000	0	3	-0.020152	-0.015940	-0.011728	0.000000	0.000000	-0.011728
chrM	2585	-	0.000772	0.001802	0.002842	0.000606	0.001057	0.005514	0.006957	0.008426	0.000000	0.000000	0	3	-0.006841	-0.005155	-0.003469	0.000000	0.000000	-0.003469
chrM	2642	+	0.005345	0.007302	0.009311	0.000000	0.000000	0.016241	0.019388	0.022648	0.000000	0.000000	0	3	-0.015456	-0.012086	-0.008717	0.000000	0.000000	-0.008717
chrM	2643	-	0.002321	0.004036	0.005780	0.000004	0.000008	0.007485	0.009903	0.012369	0.000000	0.000000	0	3	-0.008688	-0.005867	-0.003047	0.000113	0.000254	-0.003047
chrM	2689	+	0.007144	0.008680	0.010294	0.000000	0.000000	0.019973	0.022671	0.025522	0.000000	0.000000	0	3	-0.016729	-0.013991	-0.011254	0.000000	0.000000	-0.011254
chrM	2690	-	0.005052	0.007872	0.010716	0.000000	0.000000	0.009172	0.012824	0.016506	0.000000	0.000000	0	3	-0.009433	-0.004953	-0.000472	0.035876	0.056800	-0.000472
chrM	2699	+	-0.001262	0.001493	0.004259	0.288033	0.344605	0.012689	0.016666	0.020703	0.000000	0.000000	0	2	-0.019717	-0.015173	-0.010629	0.000000	0.000000	-0.010629
chrM	2700	-	0.002608	0.004051	0.005571	0.000000	0.000000	0.007814	0.010058	0.012451	0.000000	0.000000	0	3	-0.008498	-0.006007	-0.003515	0.000012	0.000031	-0.003515
chrM	2718	+	0.011196	0.013411	0.015749	0.000000	0.000000	0.035913	0.040075	0.044448	0.000000	0.000000	0	3	-0.030680	-0.026664	-0.022649	0.000000	0.000000	-0.022649
chrM	2719	-	0.004919	0.006500	0.008189	0.000000	0.000000	0.012427	0.014935	0.017634	0.000000	0.000000	0	3	-0.011200	-0.008435	-0.005669	0.000000	0.000000	-0.005669
chrM	2809	+	0.008148	0.010412	0.012733	0.000000	0.000000	0.031311	0.035230	0.039295	0.000000	0.000000	0	3	-0.028792	-0.024818	-0.020844	0.000000	0.000000	-0.020844
chrM	2810	-	0.007416	0.009252	0.011229	0.000000	0.000000	0.023356	0.026902	0.030711	0.000000	0.000000	0	3	-0.021033	-0.017650	-0.014268	0.000000	0.000000	-0.014268
chrM	2818	+	-0.011866	-0.001128	0.009610	0.836901	0.865490	-0.011196	0.001766	0.014716	0.789376	0.821444	0	0	-0.019428	-0.002894	0.013641	0.736089	0.785634	0.000000
chrM	2819	-	0.002337	0.003848	0.005439	0.000002	0.000004	0.008836	0.011252	0.013902	0.000000	0.000000	0	3	-0.010044	-0.007405	-0.004766	0.000000	0.000001	-0.004766
chrM	2824	+	0.006652	0.012295	0.018056	0.000024	0.000048	0.035275	0.043195	0.051435	0.000000	0.000000	0	3	-0.040205	-0.030900	-0.021596	0.000000	0.000000	-0.021596
